2.92,-1.34,-3.58,-1.18,-0.66,0.09
3.80,-1.42,-3.91,-1.57,-0.78,-0.01
4.37,-2.16,-4.24,-1.81,-0.76,-0.11
4.76,-2.89,-5.04,-1.92,-0.70,-0.27
7.09,0.42,-7.97,-4.09,-0.10,-1.57
7.73,0.87,-9.62,-4.09,0.01,-1.58
8.48,1.72,-11.58,-4.12,0.12,-1.64
9.42,2.45,-13.26,-4.18,0.36,-1.74
9.85,2.79,-13.72,-4.18,0.87,-1.80
11.74,9.40,-12.74,-5.59,0.08,-1.01
12.20,8.57,-13.47,-5.83,-0.33,-0.61
12.20,7.75,-14.30,-5.84,-0.58,-0.21
12.11,7.16,-15.29,-5.70,-0.72,0.14
11.80,6.39,-15.92,-5.45,-0.74,0.43
6.90,1.88,-13.23,-0.44,0.42,0.75
6.80,1.53,-12.36,-0.28,0.39,0.73
7.31,0.61,-12.15,0.03,0.43,0.66
7.59,0.37,-12.68,0.57,0.66,0.53
7.31,0.95,-13.22,1.07,0.84,0.41
7.16,1.39,-13.45,1.44,0.91,0.33
8.09,3.09,-11.97,4.23,0.60,-0.03
8.04,3.66,-11.88,4.37,0.55,0.05
8.22,4.26,-12.06,4.45,0.44,0.19
8.76,4.72,-12.28,4.44,0.28,0.37
9.18,4.81,-12.41,4.38,0.14,0.56
8.96,2.94,-10.17,2.86,-2.32,2.73
8.86,1.94,-10.07,2.64,-2.66,2.80
8.53,1.28,-9.96,2.49,-2.84,2.82
8.11,0.58,-9.64,2.36,-2.97,2.81
7.69,-0.32,-9.08,2.20,-3.11,2.74
7.56,-1.54,-8.98,2.16,-3.05,2.62
4.70,-4.24,-7.07,2.63,0.45,0.41
3.60,-4.80,-5.96,2.36,0.52,0.16
1.97,-4.37,-5.14,2.16,0.42,0.04
1.11,-4.22,-4.78,1.96,0.11,0.02
1.01,-4.85,-4.77,1.69,-0.19,-0.14
1.17,-6.12,-4.98,1.55,-0.28,-0.35
5.60,-4.81,-3.30,1.08,0.04,-1.26
5.17,-5.02,-2.74,0.91,-0.03,-1.06
4.70,-5.07,-2.42,0.79,-0.06,-0.85
4.82,-4.87,-2.78,0.61,-0.20,-0.42
5.67,-5.25,-3.44,0.29,-0.55,-0.03
2.56,-9.97,-8.35,-3.56,-6.31,4.14
2.10,-8.37,-11.23,-3.47,-6.16,4.10
1.25,-9.61,-14.43,-3.51,-5.92,3.83
1.70,-10.15,-15.00,-3.11,-5.47,3.55
0.11,-9.88,-14.98,-2.39,-5.19,3.25
-2.80,-6.10,-2.46,1.00,2.13,-0.80
-3.13,-5.90,-1.55,0.86,2.03,-1.01
-3.15,-5.74,-1.51,0.79,1.88,-1.14
-3.56,-4.96,-2.58,0.57,1.71,-1.17
-2.42,-5.32,-4.03,0.17,1.36,-1.16
2.60,-9.02,-12.82,-1.19,0.33,-0.18
1.93,-8.11,-14.21,-0.72,0.54,-0.14
1.24,-7.11,-14.57,-0.49,0.54,-0.03
0.63,-6.23,-13.73,-0.41,0.40,0.16
-0.02,-6.15,-12.17,-0.42,0.12,0.39
-1.63,-6.52,-8.55,-0.19,-0.01,0.15
-1.85,-6.27,-8.48,-0.15,-0.02,0.04
-1.63,-6.07,-8.59,-0.13,-0.01,-0.06
-1.47,-6.00,-9.02,-0.13,0.00,-0.12
-1.07,-6.04,-9.68,-0.10,0.01,-0.15
0.68,-6.89,-11.33,0.38,0.48,-0.21
1.01,-6.96,-10.89,0.41,0.58,-0.17
1.15,-7.03,-10.31,0.46,0.66,-0.12
1.32,-7.02,-9.76,0.51,0.70,-0.08
1.53,-7.00,-9.61,0.56,0.83,-0.00
1.64,-6.78,-8.53,0.89,2.06,0.11
1.89,-7.21,-9.62,0.91,2.01,0.14
2.27,-7.54,-10.44,0.79,1.86,0.14
2.65,-7.68,-10.49,0.66,1.76,0.16
2.73,-7.77,-9.65,0.50,1.67,0.20
3.36,-8.52,-8.62,0.44,1.67,0.22
0.68,-6.55,-3.15,-1.12,1.19,0.72
1.13,-6.65,-3.53,-1.53,0.64,1.00
1.79,-7.42,-4.56,-1.87,0.12,1.28
2.22,-8.06,-6.22,-2.03,-0.24,1.44
2.61,-8.28,-7.69,-2.01,-0.38,1.53
0.57,-7.42,-9.88,0.86,0.76,-1.10
0.76,-7.55,-8.06,1.00,0.63,-1.27
1.34,-7.29,-7.21,1.03,0.42,-1.35
2.23,-7.23,-7.12,1.05,0.29,-1.36
2.75,-7.36,-7.71,1.10,0.17,-1.33
2.70,-7.17,-8.42,1.10,-0.01,-1.29
5.01,-8.33,-6.50,1.05,-1.41,-0.84
5.01,-8.66,-5.74,1.09,-1.32,-0.91
4.94,-8.73,-5.27,1.15,-1.15,-1.01
5.05,-8.47,-4.93,1.23,-0.94,-1.13
4.73,-7.84,-4.25,1.24,-0.72,-1.11
